Disaster Nbr,Disaster Type,Disaster Name,State,Service Office,Declaration Dt,Declaration FY,Deadline Dt,Rec Created Dt,Declaration Type Cd
100016,6,Remnants of Hurricane Frances and Hurricane Ivan,MD,9050,11/16/04,2005,1/18/05,11/16/04 0:00,A
100026,6,Remnants of Hurricane Frances and Hurricane Ivan - EIDL,MD,9050,11/16/04,2005,,11/16/04 0:00,A
10003C,C,Tornadoes created from remnants of Hurricane Charley,NC,9050,12/9/04,2005,2/8/05,12/9/04 0:00,A
10004C,C,Tornadoes created from remnants of Hurricane Charley - EIDL,NC,9050,12/9/04,2005,,12/9/04 0:00,A
100056,6,"Severe storms, excessive rain and flooding",TX,9050,1/4/05,2005,3/7/05,12/30/04 0:00,A
100066,6,"Severe storms, excessive rain and flooding - EIDL",TX,9050,1/4/05,2005,,12/30/04 0:00,A
100076,6,Severe Winter Storms and Flooding,IN,9050,1/21/05,2005,3/22/05,1/25/05 0:00,P
100086,6,Severe Winter Storms and Flooding- EIDL,IN,9050,1/21/05,2005,,1/25/05 0:00,P
100091,1,Drought,CA,9050,1/19/05,2005,,2/2/05 0:00,S
100101,1,"Drought, Excessive Moisture, High Winds",ID,9050,1/19/05,2005,,2/2/05 0:00,S
100111,1,Excessive rain and high winds,TX,9050,1/19/05,2005,,2/2/05 0:00,S
100121,1,"Excessive rain, flash flooding, high winds, and lightning",TX,9050,1/19/05,2005,,2/2/05 0:00,S
100131,1,"Excessive rain, flash flooding, flooding, hail, high winds, and a tornado.",TX,9050,1/19/05,2005,,2/2/05 0:00,S
100141,1,Excessive Rain and flash flooding,TX,9050,1/19/05,2005,,2/2/05 0:00,S
100151,1,Excessive rain,TX,9050,1/19/05,2005,,2/2/05 0:00,S
100161,1,Excessive rain and flash flooding,TX,9050,1/19/05,2005,,2/3/05 0:00,S
100171,1,Excessive rain and flooding,TX,9050,1/19/05,2005,,2/3/05 0:00,S
100181,1,"Excessive rain, and Hail",TX,9050,1/19/05,2005,,2/3/05 0:00,S
100191,1,"Excessive rain, and Hail",TX,9050,1/19/05,2005,,2/3/05 0:00,S
10020B,B,"Severe Storms, Flooding, Debris Flows, and Mudslides",CA,9050,2/4/05,2005,5/16/05,1/14/05 0:00,P
10021B,B,"Severe Storms, Flooding, Debris Flows, and Mudslides- EIDL",CA,9050,2/4/05,2005,,1/14/05 0:00,P
100226,6,"Severe storms, flooding, and landslides - PA ONLY",WV,9050,2/1/05,2005,4/4/05,2/8/05 0:00,P
100236,6,Severe storms and flooding - PA ONLY,UT,9050,2/1/05,2005,4/4/05,2/8/05 0:00,P
100246,6,Severe storms and flash flooding - PA ONLY,HI,9050,2/1/05,2005,4/4/05,2/8/05 0:00,P
100256,6,Flooding and Ice Jams,MI,9050,2/18/05,2005,4/20/05,2/4/05 0:00,A
100266,6,Flooding and Ice Jams- EIDL,MI,9050,2/18/05,2005,,2/4/05 0:00,A
10027B,B,"Severe storms, flooding, debris flows, and mudslides",CA,9050,2/18/05,2005,4/19/05,2/14/05 0:00,A
10028B,B,"Severe storms, flooding, debris flows, and mudslides- EIDL",CA,9050,2/18/05,2005,,2/14/05 0:00,A
100296,6,"Severe Winter Storms, Flooding, and Mudslides",OH,9050,2/15/05,2005,4/18/05,2/16/05 0:00,P
100306,6,"Severe Winter Storms, Flooding, and Mudslides - EIDL",OH,9050,2/15/05,2005,4/18/05,2/16/05 0:00,P
